TEAMname,color,Mascot,TEAM
Sam Houston State,#F78F1E,Bearkats,Sam Houston State Bearkats
Samford,#005485,Bulldogs,Samford Bulldogs
San Diego,#2f99d4,Toreros,San Diego Toreros
San Diego State,#231F20,Aztecs,San Diego State Aztecs
San Francisco,#22523F,Dons,San Francisco Dons
San Jose State,#005893,Spartans,San Jose State Spartans
Santa Clara,#690B0B,Broncos,Santa Clara Broncos
Savannah State,#280298,Tigers,Savannah State Tigers
Seattle,#BF2E1A,Redhawks,Seattle Redhawks
Seton Hall,#0857B1,Pirates,Seton Hall Pirates
Siena,#037961,Saints,Siena Saints
SIU-Edwardsville,#674B20,Cougars,SIU-Edwardsville Cougars
South Alabama,#003E7E,Jaguars,South Alabama Jaguars
South Carolina,#CD0000,Gamecocks,South Carolina Gamecocks
South Carolina State,#7E1812,Bulldogs,South Carolina State Bulldogs
South Dakota,#CD1241,Coyotes,South Dakota Coyotes
South Dakota State,#005DAB,Jackrabbits,South Dakota State Jackrabbits
South Florida,#004A36,Bulls,South Florida Bulls
Southeast Missouri State,#E2373E,Redhawks,Southeast Missouri State Redhawks
Southeastern Louisiana,#007550,Lions,Southeastern Louisiana Lions
Southern Illinois,#85283D,Salukis,Southern Illinois Salukis
Southern Methodist,#E32F38,Mustangs,Southern Methodist Mustangs
Southern Miss,#FFAA3C,Golden Eagles,Southern Miss Golden Eagles
Southern University,#004B97,Jaguars,Southern University Jaguars
Southern Utah,#D12947,Thunderbirds,Southern Utah Thunderbirds
St. Bonaventure,#70261D,Bonnies,St. Bonaventure Bonnies
St. Francis (NY),#113682,Terriers,St. Francis (NY) Terriers
St. Francis (PA),#F41650,Red Flash,St. Francis (PA) Red Flash
St. John's,#D31145,Red Storm,St. John's Red Storm
St. Peter's,#004CC2,Peacocks,St. Peter's Peacocks
Stanford,#A80532,Cardinal,Stanford Cardinal
Stephen F. Austin,#393996,Lumberjacks,Stephen F. Austin Lumberjacks
Stetson,#18581C,Hatters,Stetson Hatters
Stony Brook,#115F9A,Seawolves,Stony Brook Seawolves
Syracuse,#002D62,Orange,Syracuse Orange
TCU,#3C377D,Horned Frogs,TCU Horned Frogs
