TEAMname,color,Mascot,TEAM,Logo
Texas Tech,#C80025,Red Raiders,Texas Tech Red Raiders,TTU.png
Texas-Arlington,#004B7C,Mavericks,Texas-Arlington Mavericks,UTA.png
Texas-Pan American,#DC6000,Broncs,Texas-Pan American Broncs,UTPA.png
Texas-San Antonio,#002A5C,Roadrunners,Texas-San Antonio Roadrunners,UTSA.png
Toledo,#00488F,Rockets,Toledo Rockets,TOL.png
Towson,#FFC229,Tigers,Towson Tigers,TOWS.png
Troy,#AE0210,Trojans,Troy Trojans,TROY.png
Tulane,#005837,Green Wave,Tulane Green Wave,TULN.png
Tulsa,#004371,Golden Hurricane,Tulsa Golden Hurricane,TLSA.png
UAB,#054338,Blazers,UAB Blazers,UAB.png
UC Davis,#183563,Aggies,UC Davis Aggies,UCD.png
UC Irvine,#002B5C,Anteaters,UC Irvine Anteaters,UCI.png
UC Riverside,#14234F,Highlanders,UC Riverside Highlanders,UCRV.png
UC Santa Barbara,#1D1160,Gauchos,UC Santa Barbara Gauchos,UCSB.png
UCF,#231F20,Knights,UCF Knights,UCF.png
UCLA,#005C8E,Bruins,UCLA Bruins,UCLA.png
UMBC,#221F1F,Retrievers,UMBC Retrievers,UMBC.png
UMKC,#005486,Kangaroos,UMKC Kangaroos,UMKC.png
UNC Greensboro,#003559,Spartans,UNC Greensboro Spartans,UNCG.png
UNLV,#231E1F,Rebels,UNLV Rebels,UNLV.png
USC,#AE2531,Trojans,USC Trojans,USC.png
USC Upstate,#702D07,Spartans,USC Upstate Spartans,SCU.png
Utah,#CD1041,Utes,Utah Utes,UTAH.png
Utah State,#003263,Aggies,Utah State Aggies,USU.png
Utah Valley,#004812,Wolverines,Utah Valley Wolverines,UVU.png
UTEP,#002843,Miners,UTEP Miners,UTEP.png
Valparaiso,#794500,Crusaders,Valparaiso Crusaders,VALP.png
Vanderbilt,#000000,Commodores,Vanderbilt Commodores,VAN.png
Vermont,#013C24,Catamounts,Vermont Catamounts,UVM.png
Villanova,#123d7C,Wildcats,Villanova Wildcats,VILL.png
Virginia,#00204E,Cavaliers,Virginia Cavaliers,UVA.png
Virginia Commonwealth,#7D7D7A,Rams,Virginia Commonwealth Rams,VCU.png
Virginia Military ,#000000,Institute Keydets,Virginia Military Institute Keydets,VMI.png
Virginia Tech,#74232D,Hokies,Virginia Tech Hokies,VT.png
Wagner,#00483A,Seahawks,Wagner Seahawks,WAG.png
Wake Forest,#000000,Demon Deacons,Wake Forest Demon Deacons,WAKE.png
Washington,#2B2F64,Huskies,Washington Huskies,WASH.png
Washington State,#97002F,Cougars,Washington State Cougars,WSU.png
Weber State,#29086B,Wildcats,Weber State Wildcats,WEB.png
West Virginia,#FFC600,Mountaineers,West Virginia Mountaineers,WVU.png
Western Carolina,#492F91,Catamounts,Western Carolina Catamounts,WCU.png
Western Illinois,#6812BB,Leathernecks,Western Illinois Leathernecks,WIU.png
Western Kentucky,#F32026,Hilltoppers,Western Kentucky Hilltoppers,WKU.png
Western Michigan,#7E3E09,Broncos,Western Michigan Broncos,WMU.png
Wichita State,#101008,Shockers,Wichita State Shockers,WICH.png
William &amp; Mary,#103217,Tribe,William &amp; Mary Tribe,W&M.png
Winthrop,#9E0B0E,Eagles,Winthrop Eagles,WIN.png
Wisconsin,#A00000,Badgers,Wisconsin Badgers,WIS.png
Wofford,#000000,Terriers,Wofford Terriers,WOF.png
Wright State,#006F53,Raiders,Wright State Raiders,WRST.png
Wyoming,#533B22,Cowboys,Wyoming Cowboys,WYO.png
Xavier,#002144,Musketeers,Xavier Musketeers,XAV.png
Yale,#004A81,Bulldogs,Yale Bulldogs,YALE.png
Youngstown State,#E51937,Penguins,Youngstown State Penguins,YSU.png
